project,city,area,status,sold_out,str_allowed,str_detail,price_from,bedrooms,sf_range,units,floors,delivery,address,developer,url_slug,developer_page_slug
3000 Waterside,Fort Lauderdale,North Beach / Intracoastal,Planning,No,Unknown,,990000,2-4BR,,129,19,,May 2028,2028,preconstruction-fort-lauderdale-3000-waterside,
Sereno Fort Lauderdale,Fort Lauderdale,NE 9th Ct,Under Construction,No,Yes,Hotel component restored May 2026 (113 hotel rooms) - condo-hotel characteristics,1400000,1-3BR+Den,"1,080-2,400",88,14,,2028,2028,preconstruction-fort-lauderdale-sereno-fort-lauderdale,
The Terraces,Fort Lauderdale,Orton Ave / Beach area,Delivered,No,Yes,"Min 30 days, max 6x/year (no Airbnb)",1900000,3-4BR+Den all-corner,"2,642-4,344",22 (developer) / 18 (realtor pages) - CONFLICT,10,,~Q4 2025 (delivered/closeout),2025,preconstruction-fort-lauderdale-the-terraces,
Selene Oceanfront Residences,Fort Lauderdale,FTL Beach,Delivered,No,Unknown,,1800000,1-4BR,,194,26,,Delivered (Q2/late 2025),2025,preconstruction-fort-lauderdale-selene-oceanfront-residences,
The Residences at Pier Sixty-Six,Fort Lauderdale,17th St Causeway,Delivered,No,No,Traditional condos (hotel + marina on site but residences not a rental program),3300000,,,88,11 (Indigo/Azul) + two 4-story,,2024-2025 (delivered),2024,preconstruction-fort-lauderdale-the-residences-at-pier-sixty-six,
Natiivo Fort Lauderdale,Fort Lauderdale,Downtown / 200 W Broward,Halted,,Yes,Was fully STR/Airbnb-licensed (384 furnished units) - the condotel casualty,,Studio to 3BR,"515-1,150",384,40,,CANCELLED (was 2027),,preconstruction-fort-lauderdale-natiivo-fort-lauderdale,developers
Lumiere Las Olas,Fort Lauderdale,Hendricks Isle / Las Olas Isles,Under Construction,No,Unknown,,2995000,Six half-floor 3BR flow-through + PH,,7,5,,Unknown,,preconstruction-fort-lauderdale-lumiere-las-olas,developers
Serene (Isle of Venice),Fort Lauderdale,Isle of Venice Dr,Delivered,No,Unknown,,3500000,"4BR (~3,000sf)","~3,000",8,4 or 5 - CONFLICT,,Delivered (listings 2025-26),2025,preconstruction-fort-lauderdale-serene-isle-of-venice,
The Pillars Club & Residences,Fort Lauderdale,109-111 N Birch Rd,Planning,,Unknown,,,2-4BR + 2 rooftop PH (private pools),"1,415-3,110",43 + 2 PH,15,,TBD,,preconstruction-fort-lauderdale-the-pillars-club-residences,developers
Marina Landings [NOT A CONDO - SFH],Fort Lauderdale,River Oaks / SW 15th Ave,Delivered,Nearly (2 left),,,1199000,"4BR (2,700+ sf), two plans","2,700+",34,,,Delivered,,preconstruction-fort-lauderdale-marina-landings-not-a-condo-sfh,developers
"The Ritz-Carlton Residences, Pompano Beach",Pompano Beach,S Ocean Blvd oceanfront,Under Construction,Nearly (3 left),No,Fully residential (no hotel),1000000,,,205 (Beach 117 + Marina 88),32 (Beach) / 14 (Marina),,Sept 2026,2026,preconstruction-pompano-beach-the-ritz-carlton-residences-pompano-beach,
Waldorf Astoria Residences Pompano Beach,Pompano Beach,S Ocean Blvd oceanfront,Topped Off,~90% sold,No,First standalone (hotel-free) Waldorf Astoria residence,2500000,,,92,28,,Spring/Summer 2027,2027,preconstruction-pompano-beach-waldorf-astoria-residences-pompano-beach,
W Pompano Hotel & Residences,Pompano Beach,N Ocean Blvd,Under Construction,No,Yes,296 condo-hotel units + 77 traditional condos - CONDO-HOTEL,3400000,,"580-3,400",77 condos + 296 condo-hotel,24,,2029,2029,preconstruction-pompano-beach-w-pompano-hotel-residences,
Casamar,Pompano Beach,N Ocean Blvd oceanfront,Delivered,No,Unknown,,1600000,,,119,21,,Delivered 2025,2025,preconstruction-pompano-beach-casamar,
Solemar,Pompano Beach,Oceanfront,Delivered,No,Unknown,,,,,105,20,,Delivered 2023,2023,preconstruction-pompano-beach-solemar,
Salato Pompano Beach,Pompano Beach,Briny Ave oceanfront,Delivered,~70% sold,Unknown,,2000000,,,40,9,,Opened May 2026,2026,preconstruction-pompano-beach-salato-pompano-beach,
Ocean580,Pompano Beach,Briny Ave,Under Construction,No,Unknown,,4400000,,,17,10,,~2027,2027,preconstruction-pompano-beach-ocean580,
Armani/Casa Residences Pompano,Pompano Beach,N Ocean Blvd,Planning,No,Unknown,,5000000,,,28,Twin 19-story,,2028,2028,preconstruction-pompano-beach-armani-casa-residences-pompano,
Icon Beach Waterfront Residences,Hollywood,S Ocean Dr,Under Construction,No,Yes,"Rent up to 6x/year, 30-day minimum",825000,,,350 + 6 townhomes,31 (TRD) / 37 (CBB) - CONFLICT,,2028,2028,preconstruction-hollywood-icon-beach-waterfront-residences,
Gaia Residences,Hollywood,N Federal Hwy,Reservations,No,Unknown,,400000,,,238,18,,Groundbreaking 2026,,preconstruction-hollywood-gaia-residences,developers
The Hollywood Moon,Hollywood,S Ocean Dr,Planning,No,Unknown,EB-5 relaunch,1200000,,,48,Two 6-story buildings,,Q3 2028,2028,preconstruction-hollywood-the-hollywood-moon,
One Hollywood Residences,Hollywood,,UNVERIFIED,,Unknown,,400000,,,,,,,,preconstruction-hollywood-one-hollywood-residences,developers
Seven Park,Hallandale Beach,SE 7th St,Reservations,No,Yes,STR/Airbnb explicitly ALLOWED - notable for financing,370000,Studios-3BR,"500-1,645",121,8,,In permitting (was Oct 2025 construction target),,preconstruction-hallandale-beach-seven-park,developers
Oasis Hallandale,Hallandale Beach,,Under Construction / Delivering,No,Unknown,,,,,Two towers,,,West Tower early 2026; East topped off Mar 2026,2026,preconstruction-hallandale-beach-oasis-hallandale,
Mondrian Hallandale Beach,Hallandale Beach,,Delivered,No,Yes,Branded/hotel program characteristics likely - verify,,,,,,,Move-in ready (Jun 2025),2025,preconstruction-hallandale-beach-mondrian-hallandale-beach,
2000 Ocean,Hallandale Beach,Oceanfront,UNVERIFIED,,Unknown,,,,,,,,,,preconstruction-hallandale-beach-2000-ocean,developers
Rosewood Residences Hillsboro Beach,Hillsboro Beach,Oceanfront,Topped Off,No,No,,5950000,,,92 (70 condos + 22 villas),10-story tower + 3-story villas,,Early 2027,2027,preconstruction-hillsboro-beach-rosewood-residences-hillsboro-beach,
