registration,association_name,address,type,registration_status,enforcement_status,reg_date
CR23002027,"VENETIAN PALMS CONDOMINIUM ASSOCIATION, INC",7941 SW 104TH ST MIAMI FL 33156,Condominium,Issued,No,01-31-2027
CR23002028,8701 COLLINS AVENUE CONDOMINIUM ASSOCIATION INC.,8701 COLLINS AVENUE MIAMI BEACH FL 33154,Condominium,Issued,No,01-31-2027
CR23002029,"50 BISCAYNE CONDOMINIUM ASSOCIATION, INC.",50 BISCAYNE BLVD. #301 MIRAMAR FLORIDA 33025,Condominium,Issued,No,01-31-2027
CR23002030,"MONACO YACHT CLUB & RESIDENCES CONDOMINIUM ASSOCIATION, INC.",6800 INDIAN CREEK DR MIAMI FL 33141,Condominium,Issued,No,01-31-2027
CR23002048,REACH CONDOMINIUM ASSOCIATION INC.,68 SE 6TH ST. MIAMI FLORIDA 33131,Condominium,Issued,No,01-31-2027
CR23002051,"SILVER PALMS BY LENNAR COMMUNITY ASSOCIATION, INC.",23770 SW 115 AVE HOMESTEAD FL - FLORIDA 33032-4508,Homeowner,Issued,No,01-31-2027
CR23002054,1800 CLUB CONDOMINIUM ASSOCIATION INC.,1800 N BAYSHORE DRIVE MIAMI FL 33132,Condominium,Issued,No,01-31-2027
CR23002056,"MONAD TERRACE CONDOMINIUM ASSOCIATION, INC.",1300 MONAD TERRACE MIAMI BEACH FLORIDA 33139,Condominium,Issued,No,01-31-2027
CR23002057,"THE CUTLER CAY HOMEOWNERS ASSOCIATION, INC.",7755 SW 192 STREET MIAMI FL 33157,Homeowner,Issued,No,01-31-2027
CR23002058,"GROVENOR HOUSE CONDOMINIUM ASSOCIATION, INC.",2627 SOUTH BAYSHORE DRIVE MIAMI FL 33133,Condominium,Issued,No,01-31-2027
CR23002059,"MARINA TOWER OF TURNBERRY ISLE CONDOMINIUM ASSOCIATION, INC.",19500 TURNBERRY WAY AVENTURA FL 33180,Condominium,Issued,No,01-31-2027
CR23002060,"PLAZA DEL PRADO CONDOMINIUM ASSOCIATION, INC",18071 BISCAYNE BLVD AVENTURA FL 33160,Condominium,Issued,No,01-31-2027
CR23002061,"AQUASOL CONDOMINIUM ASSOCIATION, INC.",6770 INDIAN CREEK DRIVE MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002064,THE HAMPTONS WEST CONDOMINIUM ASSOCIATION,20281 E COUNTRY CLUB DR AVENTURA FL 33180,Condominium,Abandoned,No,01-31-2024
CR23002067,"EXECUTIVE CONDOMINIUM ASSOCIATION, INC.",4925 COLLINS AVE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002068,"CEDAR POINTE BY LENNAR HOMEOWNERS ASSOCIATION, INC.",28805 SW 163 CT MIAMI FLORIDA 33033,Homeowner,Issued,No,01-31-2027
CR23002069,"801 SMA MASTER ASSOCIATION, INC.",801 SOUTH MIAMI AVE. MIAMI FLORIDA 33131,Master Association,Issued,No,01-31-2027
CR23002070,"VALENCIA SOUTH MIAMI CONDOMINIUM ASSOCIATION, INC.",6001 SW 70 STREET PLANTATION FLORIDA 33143,Condominium,Expired,No,01-31-2026
CR23002071,"LA TOUR CONDOMINIUM ASSOCIATION, INC.",4201 COLLINS AVE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002072,"BILTMORE II CONDOMINIUM ASSOCIATION, INC.",600 BILTMORE WAY CORAL GABLES FL 33134,Condominium,Issued,No,01-31-2027
CR23002073,"801 SMA RESIDENCES CONDOMINIUM ASSOCIATION, INC.",801 SOUTH MIAMI AVE MIAMI FL 33130,Condominium,Issued,No,01-31-2027
CR23002074,"CENTRIS HOMEOWNERS ASSOCIATION, INC.",8251 SW 120 ST MIAMI FLORIDA 33126,Homeowner,Issued,No,01-31-2027
CR23002075,"THE CRICKET CLUB CONDOMINIUM, INC.",1800 NE 114TH ST MIAMI FLORIDA (FL) 33181,Condominium,Issued,No,01-31-2027
CR23002076,"HARMONY PARC HOMEOWNERS ASSOCIATION, INC.",14800 SW 264TH ST MIAMI FLORIDA 33126,Homeowner,Issued,No,01-31-2027
CR23002077,719 APARTMENT ASSOCIATION INC.,719 EUCLID AVENUE MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002078,"MEDITERRANEAN VILLAGE CONDOMINIUM NO. ONE ASSOCIATION, INC.",3700 ISLAND BLVD AVENTURA FL 33160,Condominium,Issued,No,01-31-2027
CR23002084,"THE CARIBBEAN CONDOMINIUM ASSOCIATION, INC.",3737 COLLINS AVE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002087,"THE STERLING CONDOMINIUM ASSOCIATION, INC.",6767 COLLINS AVENUE MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002092,"PELORO CONDOMINIUM ASSOCIATION, INC.",6620 INDIAN CREEK DRIVE MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002095,GARDENS BY THE HAMMOCKS HOMEOWNERS ASSOCIATION INC,15080 SW 116TH TERRACE MIAMI FL 33196,Homeowner,Issued,No,01-31-2027
CR23002096,"1800 CLUB MASTER ASSOCIATION, INC.",1800 N BAYSHORE DRIVE MIAMI FL 33132,Master Association,Issued,No,01-31-2027
CR23002110,"1600 SOUTH BAYSHORE LANE, INC.",1600 S BAYSHORE LN MIAMI FL 33133,Condominium,Issued,No,01-31-2027
CR23002113,"2901 COLLINS CONDOMINIUM ASSOCIATION, INC.",2901 COLLINS AVENUE MIAMI FL 33140,Condominium,Issued,No,01-31-2027
CR23002114,"KEYSTONE VILLAS CONDOMINIUM ASSOCIATION, INC.",3590 CORAL WAY MIAMI FL 33145,Condominium,Issued,No,01-31-2027
CR23002115,"THE CARRIAGE CLUB NORTH CONDOMINIUM ASSOCIATION, INC.",5005 COLLINS AVENUE MIAMI BEACH FLORIDA 33140,Condominium,Expired,Yes,01-31-2026
CR23002118,"5600 CONDOMINIUM ASSOCIATION, INC.",5600 COLLINS AVENUE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002119,"KINGS CREEK WEST CONDOMINIUM ASSOCIATION, INC.",7965 SW 86 ST MIAMI FL 33143,Condominium,Issued,No,01-31-2027
CR23002137,"SKYLINE ON BRICKELL CONDOMINIUM ASSOCIATION, INC.",2101 BRICKELL AVE MIAMI FL 33129,Condominium,Issued,No,01-31-2027
CR23002138,"OCEAN HOUSE CONDO ASSOC, INC","125 OCEAN DRIVE, MIAMI BEACH FLORIDA 33139-7226",Condominium,Issued,No,01-31-2027
CR23002140,"THE PLAZA 901 BRICKELL CONDO ASSOCIATION, INC",951 BRICKELL AVE SUITE 101 MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002146,"3401 MIDTOWN CONDOMINIUM ASSOCIATION, INC.",121 NE 34TH STREET MIAMI FL 33127,Condominium,Issued,No,01-31-2027
CR23002147,"LEE PARK CONDOMINIUM ASSOCIATION, INC.",6110 SW 68TH ST SOUTH MIAMI FL 33143,Condominium,Issued,No,01-31-2027
CR23002157,"THREE TEQUESTA POINT CONDO ASSOC., INC.","848 BRICKELL KEY DR, #503 MIAMI FL 33131",Condominium,Issued,No,01-31-2027
CR23002158,CENTRO DOWNTOWN CONDOMINIUM ASSOCIATION INC.,151 SE 1ST ST MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002159,"227 NE 2ND STREET CONDOMINIUM ASSOCIATION, INC",227 NE 2ND STREET MIAMI FLORIDA 33132,Condominium,Issued,No,01-31-2027
CR23002165,"NINE ISLAND AVENUE CONDOMINIUM ASSOCIATION, INC.",9 ISLAND AVENUE MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002166,"THE O.D.A. HOMES CONDOMINIUM ASSOCIATION, INC.",6601 SW 137 CT MIAMI FL 33183,Condominium,Issued,No,01-31-2027
CR23002167,"PRIVE CONDOMINIUM ASSOCIATION, INC.",5000 ISLAND ESTATES DR AVENTURA FL 33160,Condominium,Issued,No,01-31-2027
CR23002168,"PRIVE AT ISLAND ESTATES MAINTENANCE ASSOCIATION, INC.",5000 ISLAND ESTATES DR AVENTURA FL 33160,Homeowner,Issued,No,01-31-2027
CR23002169,"THE PARC CONDOMINIUM ASSOCIATION, INC.",19400 TURNBERRY WAY AVENTURA FL. 33180,Condominium,Issued,No,01-31-2027
CR23002171,"MYSTIC POINTE CONDOMINIUM NO. ONE ASSOCIATION, INC.",3600 MYSTIC POINTE DRIVE AVENTURA FLORIDA 33180,Condominium,Issued,No,01-31-2027
CR23002172,"ALTOS DEL MAR ASSOCIATION, INC.",78 ST ATLANTIC WAY MIAMI FL 33141,Homeowner,Issued,No,01-31-2027
CR23002173,"BELLE PLAZA CONDOMINIUM ASSOCIATION, INC.",20 ISLAND AVE MIAMI BEACH FLORIDA 33139,Condominium,Issued,No,01-31-2027
CR23002174,"JAMES CENTRAL TOWERS CONDO ASSN, INC",245 18TH STREET MIAMI FL 33139,Condominium,Issued,No,01-31-2027
CR23002175,"PUERTA DE PALMAS CONDOMINIUM ASSOCIATION, INC.",888 S DOUGLAS ROAD CORAL GABLES FL 33134,Condominium,Issued,No,01-31-2027
CR23002176,"WATERVIEW CONDOMINIUM ASSOCIATION, INC. OF AVENTURA",20505 E COUNTRY CLUB DRIVE AVENTURA FL 33180,Condominium,Issued,No,01-31-2027
CR23002177,GABLES COURT CONDOMINIUM ASSOCIATION INC.,5200 BLUE LAGOON DRIVE SUITE 1000 MIAMI FL 33126,Condominium,Issued,No,01-31-2027
CR23002178,BEACHCOMBER OF NOBE CONDO ASSOC INC,2800 BISCAYNE BLVD. SUITE #310 MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002179,"POINT EAST ONE CONDOMINIUM CORPORATION, INC.",2895 POINT EAST DR AVENTURA FL 33160,Condominium,Expired,Yes,01-31-2026
CR23002180,"GROVE ENCLAVE CONDOMINIUM ASSOCIATION, INC.",3024 MCDONALD STREET MIAMI FL 33126,Condominium,Issued,No,01-31-2027
CR23002181,"MARINABLUE CONDOMINIUM ASSOCIATION, INC.",888 BISCAYNE BLVD MIAMI FL 33132,Condominium,Issued,No,01-31-2027
CR23002182,"KENDALL BREEZE WEST HOMEOWNERS' ASSOCIATION, INC",11780 SW 138 AVE MIAMI FL 33186,Homeowner,Issued,No,01-31-2027
CR23002183,"BISCAYNE COVE CONDOMINIUM ASSOCIATION, INC.",665 NE 83 AVENTURA FLORIDA 33160,Condominium,Issued,No,01-31-2027
CR23002184,"THE BILTMORE REGENT CONDOMINIUM ASSOCIATION, INC.",2800 BISCAYNE BLVD SUITE 310 MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002186,"AVENTURA PARKSQUARE RESIDENCES CONDOMINIUM ASSOCIATION, INC.",2960 NE 207 STREET AVENTURA FL 33180,Condominium,Issued,No,01-31-2027
CR23002187,"THE COCONUT GROVE BAYSHORE CONDOMINIUM ASSOCIATION, INC.",2800 BISCAYNE BLVD STE 310 MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002188,WINSTON PARK ASSOCIATION INC,8100 SW 132 AVE MIAMI FL 33183,Homeowner,Issued,No,01-31-2027
CR23002189,"ST. TROPEZ OCEAN CONDOMINIUM ASSOCIATION, INC.",7330 OCEAN TERRACE MIAMI BEACH FLORIDA 33141,Condominium,Issued,No,01-31-2027
CR23002190,"DOMICILE LOFTS CONDOMINIUM ASSOCIATION, INC.",2129 WASHINGTON AVE MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002192,"3 ISLAND CONDOMINIUM ASSOCIATION, INC.",3 ISLAND AVENUE MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002193,"DADELAND COVE SECTION ONE HOMEOWNERS' ASSOCIATION, INC.",10105 SW 77 CT MIAMI FL 33156,Homeowner,Issued,No,01-31-2027
CR23002194,"CORSICA AT ISLANDS AT DORAL NEIGHBORHOOD ASSOCIATION, INC.",11179 NW 80TH LN DORAL FL 33178,Homeowner,Issued,No,01-31-2027
CR23002195,"FERNWOODS LAKEVIEW CONDOMINIUM ASSOCIATION #1, INC.",1500 NW 89 COURT #202 DORAL FL 33172,Condominium,Issued,No,01-31-2027
CR23002196,"SOLARIS AT BRICKELL BAY CONDOMINIUM ASSOCIATION, INC",186 SE 12 TER MIAMI FLORIDA 33131,Condominium,Closed,Yes,01-31-2025
CR23002197,"EL PINAR CONDO ASSOCIATION, INC.",1039 SW 5TH ST MIAMI FL 33130,Condominium,Issued,No,01-31-2027
CR23002198,"VILLAGE AT THE FALLS CONDOMINIUM ASSOCIATION, INC.",13100 SW 92 AVE MIAMI FL 33176,Condominium,Issued,No,01-31-2027
CR23002199,"TOWERS OF PORTO VITA - SOUTH TOWER CONDOMINIUM ASSOCIATION, INC.",19955 NORTHEAST 38TH COURT AVENTURA FLORIDA 33180,Condominium,Issued,No,01-31-2027
CR23002200,BARCELONA I CONDO ASSN INC,2800 BISCAYNE BLVD. SUITE #310 MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002201,"FUTURA SANSOVINO CONDOMINIUM ASSOCIATION, INC.",5201 ORDUNA DRIVE MIAMI FL 33146,Condominium,Issued,No,01-31-2027
CR23002203,MARINER VILLAGE GARDEN CONDO ASSOCIATION,3544 MAGELLAN CIRCLE AVENTURA FL 33180,Condominium,Issued,No,01-31-2027
CR23002204,"MET 1 CONDOMINIUM ASSOCIATION, INC.",300 SOUTH BISCAYNE BLVD MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002205,GABLES PARK TOWER CONDO ASSOC INC.,2800 BISCAYNE BLVD STE 310 MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002207,"PARAISO BAY MASTER ASSOCIATION, INC.",650 NE 32ND STREET MIAMI FL 33137,Master Association,Issued,No,01-31-2027
CR23002208,HIDDEN LAKE AT KENDALL HOMEOWNERS ASSOCIATION INC.,8201 SW 96TH CT MIAMI FL 33173,Homeowner,Issued,No,01-31-2027
CR23002209,"GOLDEN HOUSE CONDOMINIUM, INC.",1340 LINCOLN RD MIAMI FL 33139,Condominium,Issued,No,01-31-2027
CR23002210,"4000 ISLAND BOULEVARD CONDOMINIUM ASSOCIATION, INC.",4000 ISLAND BLVD AVENTURA FL 33160-2593,Condominium,Issued,No,01-31-2027
CR23002211,"THE CARRIAGE HOUSE CONDOMINIUM ASSOCIATION, INC.",5401 COLLINS AVE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002212,"GROVE TOWNHOUSES CONDOMINIUM ASSOCIATION, INC.",3025 MARY STREET MIAMI FL 33133,Condominium,Issued,No,01-31-2027
CR23002214,"TERRAZAS RIVERPARK VILLAGE CONDOMINIUM ASSOCIATION, INC.",1861 NW SOUTH RIVER DRIVE MIAMI FL 33125,Condominium,Issued,No,01-31-2027
CR23002215,"LAKE AVILA ESTATES HOMEOWNERS' ASSOCIATION, INC.",6933 SW 166 CT CORAL GABLES FL 33193,Homeowner,Issued,No,01-31-2027
CR23002217,"ISLAND BREAKERS - A CONDOMINIUM, INC.",150 OCEAN LANE DRIVE MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002218,"THE PENINSULA II CONDOMINIUM ASSOCIATION, INC.",3301 NE 183RD ST AVENTURA FL 33160,Condominium,Issued,No,01-31-2027
CR23002219,"ICONBRICKELL CONDOMINIUM NO. TWO ASSOCIATION, INC.",495 BRICKELL AVE MIAMI FLORIDA 33131,Condominium,Issued,No,01-31-2027
CR23002220,"PENINSULA HOMEOWNERS' ASSOCIATION, INC.",3301 NE 183RD STREET AVENTURA FL 33160,Master Association,Issued,No,01-31-2027
CR23002221,"LA SALLE CONDOMINIUM ASSN., INC.",8531 HARDING AVE MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002222,"ISLE OF NORMANDY CONDOMINIUM, INC.",1145 NORMANDY DRIVE MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002223,"MARBELLA OF MIAMI CONDOMINIUM ASSOCIATION, INC.",1650 CORAL WAY MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002224,"MERIDIAN MANOR CONDOMINIUM, INC.",2800 BISCAYNE BLVD MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002225,"321 OCEAN CONDOMINIUM ASSOCIATION, INC.",321 OCEAN DRIVE MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002226,"PARC PLAZA SOUTH BEACH CONDOMINIUM ASSOCIATION, INC.",1775 WASHINGTON AVE MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002228,"PARK VIEW AT BRICKELL CONDOMINIUM ASSOCIATION, INC.",115 SW 11 ST MIAMI FL 33130,Condominium,Issued,No,01-31-2027
CR23002230,"THE TOWNHOMES AT SUNSET HARBOUR CONDOMINIUM ASSOCIATION, INC.",1415 SUNSEST HARBOUR DR. MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002231,"PELICAN REEF WEST CONDO ASSN., INC.",2800 BISCAYNE BLVD. SUITE #310 MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002232,"VILLAS MARGARITA CONDOMINIUM ASSOCIATION, INC.",3162 JACKSON AVE MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002233,"ONYX ON THE BAY CONDOMINIUM ASSOCIATION, INC.",665 N.E. 25 STREET SUITE # 100 MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002234,"PRECIOUS HOMES AT TWIN LAKES PROPERTY OWNER'S ASSOCIATION, INC.",13360 SW 143 ST MIAMI FL 33186,Homeowner,Issued,No,01-31-2027
CR23002235,"AVALON PLACE HOMEOWNERS ASSOCIATION, INC",4101-4198 NE 20 ST MIAMI FLORIDA 33033,Homeowner,Issued,No,01-31-2027
CR23002236,"BRICKELL VIEW WEST CONDOMINIUM ASSOCIATION, INC.",1723 SW 2ND AVE SUITE 100 MIAMI FL 33129,Condominium,Issued,No,01-31-2027
CR23002237,"BRISTOL TOWER CONDOMINIUM ASSOCIATION, INC.",2127 BRICKELL AVE MIAMI FLORIDA 33129,Condominium,Issued,No,01-31-2027
CR23002239,"THE CHARTER CLUB, INC.",600 NE 36 ST MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002240,"THE HARBOUR SOUTH CONDOMINIUM ASSOCIATION, INC.",16385 BISCAYNE BLVD NORTH MIAMI BEACH FL 33160,Condominium,Issued,No,01-31-2027
CR23002241,"THE HARBOUR NORTH CONDOMINIUM ASSOCIATION, INC.",16385 BISCAYNE BLVD #120 NORTH MIAMI BEACH FL 33160,Condominium,Issued,No,01-31-2027
CR23002242,"THE PRESERVE TOWN HOMES CONDOMINIUM ASSOCIATION, INC",730 NE 90 ST MIAMI FL 33138,Condominium,Issued,No,01-31-2027
CR23002243,"MEDITERRANEAN VILLAGE CONDOMINIUM NO.TWO ASSOCIATION, INC.",3700 ISLAND BLVD AVENTURA FL 33160,Condominium,Issued,No,01-31-2027
CR23002244,"THE HARBOUR HOMEOWNERS' ASSOCIATION, INC.",16385 BISCAYNE BOULEVARD NORTH MIAMI BEACH FLORIDA 33160,Master Association,Issued,No,01-31-2027
CR23002245,"MOONGLOW CONDOMINIUM ASSOCIATION, INC.",7416-7424 BYRON AVENUE MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002246,"KEYSTONE HARBOR CLUB CONDOMINIUM ASSOCIATION, INC.",13155 IXORA CT OFFICE NORTH MIAMI FL 33181,Condominium,Issued,No,01-31-2027
CR23002247,"BONITA VILLAS CONDOMINIUM ASSOCIATION, INC.",14001 SW 122 AVE MIAMI FL 33186,Condominium,Issued,No,01-31-2027
CR23002248,"RIVERSIDE VILLAS AT BISCAYNE NATIONAL PARK PROPERTYOWNER'S ASSOCIATION, INC.",27266 SW 138 CT MIAMI FL 33032,Homeowner,Issued,No,01-31-2027
CR23002249,"THE CARLYLE DECO HOTEL CONDOMINIUM ASSOCIATION, INC.",1250 OCEAN DRIVE MIAMI FL 33139,Condominium,Issued,No,01-31-2027
CR23002250,"VENTURE AT AVENTURA WEST CONDOMINIUM ASSOCIATION, INC.",2775 NE 187 STREET AVENTURA FL 33180,Condominium,Issued,No,01-31-2027
CR23002251,"THE NEW LAND GARDENS CONDOMINIUM ASSOCIATION, INC.",16750 NE 10TH AV. NORTH MIAMI BEACH FL 33162,Condominium,Issued,No,01-31-2027
CR23002253,"BRICKELL FLATIRON CONDOMINIUM ASSOCIATION, INC.",1000 BRICKELL PLZ MIAMI FLORIDA 33131,Condominium,Issued,No,01-31-2027
CR23002255,"CARBONELL CONDOMINIUM ASSOCIATION, INC.",901 BRICKELL KEY BLVD MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002256,"THE RESIDENCES AT THE BATH CLUB CONDOMINIUM ASSOCIATION, INC.",5959 COLLINS AVE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002257,"BRICKELL MAR CONDOMINIUM ASSOCIATION, INC.",2201 BRICKELL AVE MIAMI FL 33129,Condominium,Issued,No,01-31-2027
CR23002258,"ONE THOUSAND MUSEUM CONDOMINIUM ASSOCIATION, INC.",1000 BISCAYNE BLVD MIAMI FLORIDA 33132,Condominium,Issued,No,01-31-2027
CR23002260,"ICON CONDOMINIUM ASSOCIATION, INC.",450 ALTON ROAD MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002261,"GABLES ON THE GREEN CONDOMINIUM EAST ASSOCIATION, INC.",626 CORAL WAY MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002262,"THE HIGHLANDS AT KENDALE LAKES CONDOMINIUM ASSOCIATION, INC.",7425 SW 153 PLACE MIAMI FL 33193,Condominium,Issued,No,01-31-2027
CR23002263,"DA VINCI ON DOUGLAS CONDOMINIUM ASSOCIATION, INC.",2665 SW 37TH AVE MIAMI FL 33133,Condominium,Issued,No,01-31-2027
CR23002264,"COMMODORE PLAZA CONDOMINIUM ASSOCIATION, INC.",2780 NE 183RD STREET AVENTURA FL 33160,Condominium,Issued,No,01-31-2027
CR23002265,"KENDALL SQUARE HOMEOWNERS ASSOCIATION, INC.",9501 SW 171 AVE MIAMI FL 33196,Homeowner,Issued,No,01-31-2027
CR23002266,"SUNSET HARBOUR SOUTH CONDOMINIUM ASSOCIATION, INC.",1800 SUNSET HARBOUR DR MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002267,"L'ATELIER CONDOMINIUM ASSOCIATION, INC.",6901 COLLINS AVE MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002268,"SILVER PALM PLANTATION HOMEOWNERS ASSOCIATION, INC.",7971 SW 110 TERR MIAMI FL 33156,Homeowner,Issued,No,01-31-2027
CR23002270,"HAVANA LOFTS CONDOMINIUM ASSOCIATION, INC.",36 NW 6TH AVE MIAMI FL 33126,Condominium,Issued,No,01-31-2027
CR23002271,"MED GROVE CONDOMINIUM ASSOCIATION, INC",3280 MATILDA STREET MIAMI FL 33133,Condominium,Issued,No,01-31-2027
CR23002272,"MARK YACHT CLUB ON BRICKELL BAY, INC.",1155 BRICKELL BAY DRIVE MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002274,"COCOPLUM HOMEOWNERS ASSOCIATION, INC.",155 ISLA DORADA BLVD MIAMI FL 33143,Homeowner,Issued,No,01-31-2027
CR23002276,"OAK CREEK AT KENDALL HOMEOWNERS ASSOCIATION, INC.",16924 SW 215 TERRACE MIAMI FL 33187,Homeowner,Issued,No,01-31-2027
CR23002277,"APOGEE CONDOMINIUM ASSOCIATION, INC.",800 SOUTH POINTE DRIVE MIAMI BEACH FLORIDA 33139,Condominium,Issued,No,01-31-2027
CR23002278,"ISLAND TERRACE CONDO ASSOCIATION, INC.",5 ISLAND AVE MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002279,"BRIARLAKE HOMEOWNERS ASSOCIATION, INC.",13120 SW 90 PLACE MIAMI FL 33176,Homeowner,Issued,No,01-31-2027
CR23002280,"LANDMARK AT DORAL CONDOMINIUM NO.6 ASSOCIATION, INC.",6425 NW 103 PL MIAMI FL 33178,Condominium,Issued,No,01-31-2027
CR23002281,"VIZCAYNE SOUTH CONDOMINIUM ASSOCIATION, INC.",253 NE 2ND STREET MIAMI FLORIDA 33132,Condominium,Issued,No,01-31-2027
CR23002282,"KING DAVID TOWERS, INC.",3411 INDIAN CREEK DRIVE MIAMI BEACH FLORIDA 33140,Condominium,Issued,No,01-31-2027
CR23002283,RISE CONDOMINIUM ASSOCIATION INC.,88 SW 7TH ST. MIAMI FLORIDA 33130,Condominium,Issued,No,01-31-2027
CR23002284,"PENINSULA CONDOMINIUM ASSOCIATION, INC.",3201 NE 183 ST AVENTURA FL 33160,Condominium,Issued,No,01-31-2027
